Followers,Impressions,Likes,Comments,reach_rate,engagement_rate,interaction_rate
100,7281,195,7,72.81,0.026782035434693038,0.035897435897435895
94,16062,416,6,170.87234042553192,0.025899638899265345,0.014423076923076924
74,10667,297,13,144.14864864864865,0.027842879910002814,0.04377104377104377
94,10933,301,13,116.30851063829788,0.02753132717460898,0.04318936877076412
96,17713,308,3,184.51041666666666,0.01738835883249591,0.00974025974025974
100,10206,172,10,102.06,0.016852831667646482,0.05813953488372093
80,13700,373,2,171.25,0.027226277372262773,0.005361930294906166
214,32695,549,2,152.7803738317757,0.016791558342254168,0.0036429872495446266
228,36919,443,5,161.92543859649123,0.011999241582924782,0.011286681715575621
